year,lu_class,class_name,count,mean_AGB,median_AGB,sd_AGB,min_AGB,max_AGB,q25_AGB,q75_AGB,skewness
2007,1,cropland,439764,10.796382228447767,7.006572008132935,11.69369809451671,2,210,4.132940292358398,13.069593667984009,5.128542618314762
2007,2,dense_woodland,238393,43.999371087801194,43.01770782470703,26.20674578120289,2,210,20.907119750976563,67.42452239990234,0.377400425388604
2007,3,woodland,517765,19.76967003381108,13.094755172729492,18.800680105209743,2,210,6.454070091247559,26.710514068603516,2.0982852183016476
2007,4,grassland,20031,8.977304828094951,5.568629264831543,10.382963769581636,2,210,3.2309765815734863,10.778814315795898,5.538345251854048
2007,5,wetland_grassland,222617,14.527026417190958,8.205915451049805,16.61947503308328,2,210,3.9605677127838135,17.96268081665039,2.5651519809708576
2007,6,built_up,4328,27.823786429413584,15.27791976928711,35.67785730184718,2,210,7.147598743438721,34.401105880737305,3.01874288744204
2007,7,water,4495,41.578640959711045,23.404863357543945,50.941138833648225,2,210,11.4027419090271,51.14982032775879,2.3310798591626396
2007,8,mineral,84386,24.268213255851887,16.244938850402832,21.88327303705578,2,210,6.498474597930908,37.06071472167969,1.151013024588095
2013,1,cropland,357410,10.468707841628248,6.720710754394531,11.503582033803893,2,210,4.022301554679871,12.429470777511597,4.948044633850399
2013,2,dense_woodland,233527,45.136841737173526,44.627601623535156,25.81115549857954,2,210,22.335037231445313,68.35612869262695,0.3371699272276873
2013,3,woodland,603690,18.577581008478354,12.244281768798828,18.101594723536138,2,210,6.131795644760132,24.634098052978516,2.3951331632201804
2013,4,grassland,32828,8.560441220091368,5.510987043380737,8.93249201061934,2,84.8492202758789,3.375807046890259,10.150532484054565,3.3125538368293506
2013,5,wetland_grassland,207458,13.87150195688344,7.676693439483643,15.992228811980562,2,210,3.7377634048461914,17.287528038024902,2.7053998065490994
2013,6,built_up,2838,23.649929418036265,10.691629886627197,35.26297180230356,2,210,4.988425016403198,26.86418342590332,3.2886780818942243
2013,7,water,5460,42.070621145295576,25.73336696624756,48.706929609587796,2,210,11.66714882850647,55.372294425964355,2.3145865475088896
2013,8,mineral,88568,25.845174657777335,18.31254291534424,22.234170022823754,2,210,7.536327481269836,39.52752494812012,1.1044629462515532
2023,0,dense_woodland,208475,46.484111017303114,46.37028503417969,24.97175509562176,2,210,24.39336585998535,69.16316986083984,0.2511295501820334
2023,1,cropland,346403,15.756536896510157,9.736454010009766,17.191076198898482,2,210,5.142784595489502,19.681812286376953,3.4309101284739465
2023,2,grassland,358719,10.554448673932157,6.621098518371582,11.30199090321795,2,210,3.9513132572174072,12.550355911254883,3.789600325566916
2023,3,woodland,267967,23.593560288598876,17.52609634399414,18.719964928322877,2,210,9.485612392425537,32.25371551513672,1.3743507622815976
2023,4,mineral,75217,28.20045017789428,21.120573043823242,22.93977286767541,2,210,8.606792449951172,43.96126937866211,0.8598199930162106
2023,5,built_up,18718,23.43987570102939,14.16036605834961,28.556350635747027,2,190,7.310707449913025,28.512882709503174,3.594281208570892
2023,6,bare_soil,10226,15.538960051424649,11.44841718673706,16.702385259755964,2,210,6.984229326248169,18.32421636581421,5.524799088290089
2023,7,wetland_grassland,235634,12.198551018560615,6.190444231033325,15.99781315723193,2,210,3.2934876680374146,13.57616138458252,3.5438738900979003
2023,8,water,10420,37.580475758957085,26.6056547164917,37.44036781063972,2,210,13.34687876701355,52.480491638183594,2.662710348459643
