"scenario_id","accessibility_score_brut"
"100",0.665133524475101
"101",1.2199971225685
"110",1.63617129544496
"111",1.49964886221631
"112",1.19121682638128
"113",1.03585665470496
"114",0.648797189508767
"115",0.46744087245461
"116",0.349253194136013
"117",0.54046721454447
"118",0.979792552303411
"119",1.51530749606182
"128",1.66088843126326
"129",1.50819243138866
"130",1.2681580900461
"131",0.994913702570219
"132",0.743722761386588
"133",0.578757572464078
"134",0.557540478476774
"137",1.28569506436231
"138",1.81950818581579
"146",1.39956795814121
"147",1.24805038736198
"148",0.895569129090156
"149",0.696723201207711
"150",0.58744090048116
"151",0.822990682534238
"152",0.436658871551612
"155",1.63488341212484
"156",1.84846563725297
"166",0.91842402376161
"167",0.675907371115742
"168",0.660074119257072
"169",0.923731875292597
"170",0.774755896350234
"171",0.627400508193204
"175",1.88450533143261
"176",1.68935542537198
"182",1.03174389978799
"183",0.996713392481332
"184",0.737418673356504
"185",0.840313959581501
"186",0.887850409053374
"187",1.03149398184432
"188",0.529848081619831
"189",0.81257478824244
"190",1.04952993819713
"192",2.0676636507084
"195",0.979071558168764
"201",0.881376369355609
"202",0.772033987652255
"203",0.898548551962952
"204",1.01640574842501
"205",1.11788639852297
"206",0.872537843324536
"207",0.507262564507342
"208",0.754311140665402
"211",2.12118541493761
"212",1.80005737478824
"213",1.34142893886219
"218",0.794514341270826
"219",0.819705333574001
"220",1.06350684820565
"221",1.12038154438383
"222",1.23603062884761
"223",1.19083210801603
"224",0.526061399855915
"225",0.727482097903498
"226",0.975021346131091
"227",1.44007935861929
"228",1.91619541776707
"229",2.08165333261341
"230",1.68046990678161
"231",1.17725331876645
"237",0.919972455600061
"238",1.09859625160085
"239",1.22106782266074
"240",1.40917660683625
"241",1.34236263516319
"242",0.830125915750762
"243",0.428721843109688
"244",0.702866338799785
"245",1.19769054904777
"246",1.63182269061884
"247",2.11585758535573
"248",1.96064677698633
"249",1.56175317485279
"250",1.1772399198921
"254",1.04346544212951
"255",1.18082970144316
"256",1.39899685731224
"257",1.53479586238383
"258",1.50460584541759
"259",1.09408838441803
"260",0.596403232072556
"261",0.636865058269252
"264",1.93719923691199
"265",2.17238977922439
"266",1.90660192591714
"267",1.53544960190416
"272",1.1195967489011
"273",1.17877176710451
"274",1.54675780329074
"275",1.69103569291729
"276",1.71584848028239
"277",1.35945414308206
"278",0.876317679489247
"279",0.377033736867108
"280",0.661193182992154
"281",1.29915689598893
"282",1.74047185580792
"283",1.92869648309944
"284",2.04290065828182
"285",1.90699171813646
"286",1.50375999530808
"290",1.31896508133143
"291",1.45720792388852
"292",1.84612752760205
"293",1.91651008197084
"294",1.62966866343297
"296",0.616021148764432
"297",0.589121708783111
"298",0.985993060192378
"300",1.67874682531494
"301",1.95105466179393
"302",1.98679381385173
"303",1.72505448034178
"308",1.32957645814391
"309",1.5297446027557
"310",1.85169844583036
"311",2.00406251499304
"312",1.83170600532591
"313",1.30691384434683
"314",0.8543758503393
"315",0.343705337481299
"316",0.542023254673243
"317",1.05259940779895
"318",1.48481901452444
"319",1.76777267999554
"320",1.76235986767452
"321",1.86063329689204
"322",1.66752869583728
"326",1.67205778231208
"327",1.68881971755324
"328",1.96817533404936
"329",1.90187122953026
"330",1.60067639653819
"331",1.00773410477557
"332",0.579536766481755
"333",0.494398945740253
"334",0.772109194334574
"335",1.256366818726
"336",1.40694002338284
"337",1.63708209794265
"338",1.73239439046229
"339",1.54874302278157
"344",1.71460173674292
"345",1.76451674633095
"346",1.96427480584582
"347",1.80955020789374
"348",1.70535918602662
"349",1.20635098995427
"350",0.756600495699768
"351",0.331337945853166
"352",0.482883800053467
"353",1.05522933720897
"354",1.26318781804179
"356",1.51225002237129
"362",1.94767528190566
"363",1.87214115105283
"364",1.7224354143484
"365",1.55701363207104
"366",1.42719697569396
"367",0.858020069788711
"368",0.370120963238917
"369",0.460869108777181
"370",0.751640765221361
"371",1.17459357339222
"372",1.22516311861957
"373",1.36602616671138
"374",1.45391513945809
"380",1.94322233685187
"381",1.92114532352011
"382",1.69452438401801
"383",1.52183175735214
"384",1.44065257673386
"385",1.08752057994221
"386",0.540990320693593
"387",0.374967561622668
"388",0.439872489383233
"389",0.913702898997171
"390",0.953113911204862
"392",1.23808589427838
"398",1.87880966553805
"399",1.76223473025641
"400",1.42683803168974
"401",1.32086291750782
"402",1.18504893085732
"403",0.785094853412199
"404",0.266758528491802
"405",0.277362361069921
"406",0.603428539121208
"407",0.844044328124239
"408",0.991096616124021
"409",1.01230133881894
"410",1.05157914079332
"416",1.65229065990057
"417",1.56231886024822
"418",1.47978341204411
"419",1.24808390923327
"420",1.07107927004883
"421",0.895089446481498
"422",0.482731812579548
"423",0.322707474099879
"424",0.37585873596666
"425",0.566269830087718
"426",0.677475828551697
"427",0.884151080034452
"428",1.0153212836682
"434",1.49563600588831
"435",1.4104826874215
"436",1.13418512886538
"437",1.02736364965441
"438",0.779696002961954
"439",0.730862240278508
"440",0.224256917073651
"442",0.304574112143175
"443",0.534100088118269
"444",0.666595583398872
"445",0.700385672479655
"452",1.41117213966513
"453",1.25068363103657
"454",1.14023724418685
"455",1.07479241117895
"457",0.547992024798472
"458",0.526473190841676
"461",0.24867027737641
"462",0.376293651300496
"463",0.564685997266552
"470",1.29916743334364
"471",1.08143943852056
"472",0.939214798789721
"474",0.332703351656326
"475",0.465951823177662
"476",0.220879541718104
"478",0.226394479864448
"479",0.261012753063875
"480",0.354806782927516
"481",0.435420830528354
"489",1.04529329318886
"490",0.908712977297267
"493",0.284691816994099
"494",0.245374150079824
"495",0.137573363871311
"497",0.325590209382004
"498",0.37140166783293
"507",0.760196649677015
"510",0.470877738388791
"511",0.244137697840732
"512",0.24608365421952
"513",0.27770751271655
"514",0.568470378810507
"515",0.352941174557837
"516",0.473469171729925
"517",0.545396018473261
"529",0.509544289562807
"530",0.334895579294582
"531",0.343734902143097
"532",0.401993705436673
"533",0.673662893631659
"534",0.436834152732418
"535",0.6690541690875
"546",0.763542974322355
"547",0.391231852616412
"548",0.530066033281841
"549",0.367860668383366
"550",0.531828401461559
"551",0.752713505137147
"552",0.494692542960537
"553",0.770526756859114
"566",0.464159383239466
"567",0.591014669428692
"568",0.350037640761273
"569",0.79062445789226
"582",1.01536180668157
"583",0.465229807746141
"584",0.799447060842224
"585",0.71425798254588
"586",0.521881274394269
"587",1.02167675154997
"59",1.14772290487019
"60",0.965064695055838
"601",0.648034330163488
"602",0.75359450674264
"603",0.843134534043688
"604",0.420586595814498
"605",0.745042549430153
"61",0.928633440411186
"618",0.851507228341814
"619",0.613991001115426
"62",0.549661857548639
"620",1.05780889015477
"621",0.747943835955853
"622",0.4079935720047
"63",0.529817077869129
"636",1.09341728301069
"637",0.626786688457999
"638",1.05820356556458
"639",1.00554469897627
"64",0.648622495781493
"640",0.475033362737987
"653",1.18728124453497
"654",0.838926228783101
"655",0.875129198233626
"656",1.32733488722186
"657",0.765906655018217
"658",0.50936468454109
"671",1.4195813993999
"672",1.11942938753226
"673",0.722929400531476
"674",1.13192606763875
"675",1.16069736721866
"676",0.565189134717152
"688",1.17591517988024
"689",1.41193346048237
"690",0.888388914981077
"692",1.33359090680546
"693",0.823013395542926
"708",1.10069813467015
"709",0.90635733596366
"710",1.27592702604136
"711",1.093839787238
"712",0.634659171581228
"724",1.06429323064303
"725",1.44106636346038
"726",0.899845492589873
"727",1.26873444139213
"728",1.34021784925876
"729",0.827353262504382
"742",0.953652127428285
"743",1.23875306150524
"744",1.04863490025059
"746",1.25096809300321
"747",0.952047561881811
"748",0.713260300705475
"75",1.30306323751653
"76",1.25607826311252
"760",1.04226746214525
"761",1.28206736862415
"762",1.12526117885417
"763",1.27863778225567
"764",1.00584988264074
"765",0.890744054972738
"77",1.20950650278159
"778",1.04002766231666
"779",1.19576785657943
"78",0.945501940021295
"780",1.10294801041851
"781",1.33347503495338
"782",1.12059783115576
"783",1.02321761458498
"784",0.906547301948836
"79",0.686533676408974
"796",1.13087806263528
"797",1.24590947706549
"798",1.33619561365996
"799",1.21224132628423
"80",0.318784573767807
"800",1.21249751492879
"801",1.09412246705118
"81",0.493731843087932
"814",1.31494699859571
"815",1.24669227010091
"816",1.23001325390695
"817",1.35799596994144
"818",1.38525455555715
"819",1.2461773725629
"82",0.904984552166268
"832",1.42571060932514
"833",1.32019177614925
"834",1.45270086856157
"835",1.46512241972212
"836",1.38543255878581
"837",1.10112176982429
"851",1.35710914759432
"852",1.3345351896918
"853",1.59858750946291
"854",1.52685970035305
"868",1.64036975014595
"869",1.52289423679183
"870",1.52592519718134
"871",1.73423002658432
"887",1.63200471287617
"888",1.55431432622277
"889",1.8903779269963
"904",1.56239242795311
"905",1.83208706347783
"906",1.80383620038976
"907",1.9817203702665
"92",1.61462406087211
"923",1.6576995313508
"924",1.85621891160051
"925",1.96677180537699
"93",1.4265917757402
"94",1.31401500627715
"941",1.9694817598492
"942",2.00444184682817
"943",1.7539983669975
"95",1.33615329808761
"959",1.72671441344514
"96",0.993609080493765
"960",2.10354601493561
"961",1.89419912676305
"97",0.643656852429881
"978",2.09791441812135
"979",1.76030699289014
"98",0.447337887639909
"99",0.487303412405534
